pincode,place_name,state_name,latitude,longitude
133204,Sadhaura,Haryana,30.3833,77.2167
133205,Adhoya,Haryana,30.3833,77.2167
133206,Sarawan,Haryana,30.3833,77.2167
133207,Ugala,Haryana,30.3833,77.2167
133208,Thambar,Haryana,30.3833,77.2167
133301,B C W Surajpur,Haryana,28.3709,77.7712
133302,Kalka,Haryana,28.3709,77.7712
134002,Ambala City,Haryana,30.5224,77.046
134003,Ambala City Model Town,Haryana,30.5224,77.046
134007,Baldev Nagar,Haryana,30.5224,77.046
134011,Panjokhera,Haryana,30.5224,77.046
134012,Maneola,Haryana,30.5224,77.046
134101,Pinjore H M T,Haryana,30.5224,77.046
134102,Pinjore,Haryana,30.5224,77.046
134104,Crpf Punjore,Haryana,30.5224,77.046
134107,Chandi Mandir,Haryana,30.5224,77.046
134108,Panchkula Gurukul,Haryana,30.5224,77.046
134109,Panchkula,Haryana,30.5224,77.046
134112,Panchkula Sec 4,Haryana,30.5224,77.046
134113,Panchkula Sec 15,Haryana,30.5224,77.046
134118,Barwala,Haryana,29.3833,75.9167
134201,Jatwar,Haryana,30.4561,76.9339
134202,Shahzadpur,Haryana,30.45,77.0333
134203,Naraingarh,Haryana,30.4833,77.1333
134204,Raipur Rani,Haryana,30.5224,77.046
134205,Morni,Haryana,30.7,77.0833
134206,Patrehri,Haryana,30.5224,77.046
135001,Yamuna Nagar,Haryana,30.1667,77.3
135002,Jagadhri Workshop,Haryana,30.1667,77.3
135003,Jagadhri,Haryana,30.1667,77.3
135103,Chhachhrauli,Haryana,30.25,77.3667
135104,Dadupur,Haryana,30.25,77.3667
140001,Rup Nagar College,Punjab,30.7871,76.5526
140102,Lutheri,Punjab,31.2583,76.3958
140104,Sahauran,Punjab,31.2583,76.3958
140108,Mainpur,Punjab,31.2583,76.3958
140109,Khizrabad West,Punjab,31.2583,76.3958
140112,Chamkaur Sahib,Punjab,31.1333,76.5417
140113,Ghanauli,Punjab,31.0167,76.5833
140117,Nurpur Bedi,Punjab,31.1333,76.5417
140118,Anandpur Sahib,Punjab,31.25,76.5
140119,Takhatgarh,Punjab,31.1333,76.5417
140123,Ganguwal,Punjab,31.4,76.1167
140124,Nangal Labour,Punjab,31.3833,76.25
140125,Nangal,Punjab,31.3667,76.3833
140126,Nangal Sector 2,Punjab,31.3833,76.25
140202,Ramgarh (Rupar),Punjab,30.7871,76.5526
140301,Kharar,Punjab,30.7444,76.6478
140306,Manauli,Punjab,30.7222,76.6572
140307,Landran,Punjab,30.7,76.6667
140401,Rajpura,Punjab,30.4831,76.595
140405,Sangatpursodhian,Punjab,30.4831,76.595
140406,Hamayunpur,Punjab,30.4831,76.595
140412,Bassi,Punjab,30.5872,76.8428
140413,Gharuan,Punjab,30.5872,76.8428
140501,Lairu,Punjab,30.7871,76.5526
140502,Handesra,Punjab,30.7871,76.5526
140506,Dappar Ammunition Depot,Punjab,30.7871,76.5526
140601,Banur,Punjab,30.5556,76.7183
140602,Manakpur,Punjab,30.5958,76.6328
140701,Kauli,Punjab,30.4172,76.5064
140702,Ghanaur,Punjab,30.3322,76.6072
140801,Khamano Kalan,Punjab,30.7833,76.3833
140802,Sanghol,Punjab,30.7833,76.3833
